Crosswalk2013_CBSA Code,Crosswalk2013_CBSA Title,Crosswalk2013_State Name
10180,"Abilene, TX",Texas
10380,"Aguadilla-Isabela, PR",Puerto Rico
10420,"Akron, OH",Ohio
10500,"Albany, GA",Georgia
10540,"Albany, OR",Oregon
10580,"Albany-Schenectady-Troy, NY",New York
10740,"Albuquerque, NM",New Mexico
10780,"Alexandria, LA",Louisiana
10900,"Allentown-Bethlehem-Easton, PA-NJ",Pennsylvania
11020,"Altoona, PA",Pennsylvania
11100,"Amarillo, TX",Texas
11180,"Ames, IA",Iowa
11260,"Anchorage, AK",Alaska
11460,"Ann Arbor, MI",Michigan
11500,"Anniston-Oxford-Jacksonville, AL",Alabama
11540,"Appleton, WI",Wisconsin
11640,"Arecibo, PR",Puerto Rico
11700,"Asheville, NC",North Carolina
12020,"Athens-Clarke County, GA",Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Georgia
12100,"Atlantic City-Hammonton, NJ",New Jersey
12220,"Auburn-Opelika, AL",Alabama
12260,"Augusta-Richmond County, GA-SC",Georgia
12420,"Austin-Round Rock, TX",Texas
12540,"Bakersfield, CA",California
12580,"Baltimore-Columbia-Towson, MD",Maryland
12620,"Bangor, ME",Maine
12700,"Barnstable Town, MA",Massachusetts
12940,"Baton Rouge, LA",Louisiana
12980,"Battle Creek, MI",Michigan
13020,"Bay City, MI",Michigan
13140,"Beaumont-Port Arthur, TX",Texas
13220,"Beckley, WV",West Virginia
13380,"Bellingham, WA",Washington
13460,"Bend-Redmond, OR",Oregon
13740,"Billings, MT",Montana
13780,"Binghamton, NY",New York
13820,"Birmingham-Hoover, AL",Alabama
13900,"Bismarck, ND",North Dakota
13980,"Blacksburg-Christiansburg-Radford, VA",Virginia
14010,"Bloomington, IL",Illinois
14020,"Bloomington, IN",Indiana
14100,"Bloomsburg-Berwick, PA",Pennsylvania
14260,"Boise City, ID",Idaho
14460,"Boston-Cambridge-Newton, MA-NH",Massachusetts
14500,"Boulder, CO",Colorado
14540,"Bowling Green, KY",Kentucky
14740,"Bremerton-Silverdale, WA",Washington
14860,"Bridgeport-Stamford-Norwalk, CT",Connecticut
15180,"Brownsville-Harlingen, TX",Texas
15260,"Brunswick, GA",Georgia
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",New York
15500,"Burlington, NC",North Carolina
15540,"Burlington-South Burlington, VT",Vermont
15680,"California-Lexington Park, MD",Maryland
15940,"Canton-Massillon, OH",Ohio
15980,"Cape Coral-Fort Myers, FL",Florida
16020,"Cape Girardeau, MO-IL",Missouri
16060,"Carbondale-Marion, IL",Illinois
16180,"Carson City, NV",Nevada
16220,"Casper, WY",Wyoming
16300,"Cedar Rapids, IA",Iowa
16540,"Chambersburg-Waynesboro, PA",Pennsylvania
16580,"Champaign-Urbana, IL",Illinois
16620,"Charleston, WV",West Virginia
16700,"Charleston-North Charleston, SC",South Carolina
16740,"Charlotte-Concord-Gastonia, NC-SC",North Carolina
16820,"Charlottesville, VA",Virginia
16860,"Chattanooga, TN-GA",Georgia
16940,"Cheyenne, WY",Wyoming
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Illinois
17020,"Chico, CA",California
17140,"Cincinnati, OH-KY-IN",Kentucky
17300,"Clarksville, TN-KY",Kentucky
17420,"Cleveland, TN",Tennessee
17460,"Cleveland-Elyria, OH",Ohio
17660,"Coeur d'Alene, ID",Idaho
17780,"College Station-Bryan, TX",Texas
17820,"Colorado Springs, CO",Colorado
17860,"Columbia, MO",Missouri
17900,"Columbia, SC",South Carolina
17980,"Columbus, GA-AL",Georgia
18020,"Columbus, IN",Indiana
18140,"Columbus, OH",Ohio
18580,"Corpus Christi, TX",Texas
18700,"Corvallis, OR",Oregon
18880,"Crestview-Fort Walton Beach-Destin, FL",Florida
19060,"Cumberland, MD-WV",Maryland
19100,"Dallas-Fort Worth-Arlington, TX",Texas
19140,"Dalton, GA",Georgia
19180,"Danville, IL",Illinois
19300,"Daphne-Fairhope-Foley, AL",Alabama
19340,"Davenport-Moline-Rock Island, IA-IL",Illinois
19380,"Dayton, OH",Ohio
19460,"Decatur, AL",Alabama
19500,"Decatur, IL",Illinois
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Florida
19740,"Denver-Aurora-Lakewood, CO",Colorado
19780,"Des Moines-West Des Moines, IA",Iowa
19820,"Detroit-Warren-Dearborn, MI",Michigan
20020,"Dothan, AL",Alabama
20100,"Dover, DE",Delaware
20220,"Dubuque, IA",Iowa
20260,"Duluth, MN-WI",Minnesota
20500,"Durham-Chapel Hill, NC",North Carolina
20700,"East Stroudsburg, PA",Pennsylvania
20740,"Eau Claire, WI",Wisconsin
20940,"El Centro, CA",California
21060,"Elizabethtown-Fort Knox, KY",Kentucky
21140,"Elkhart-Goshen, IN",Indiana
21300,"Elmira, NY",New York
21340,"El Paso, TX",Texas
21500,"Erie, PA",Pennsylvania
21660,"Eugene, OR",Oregon
21780,"Evansville, IN-KY",Indiana
21820,"Fairbanks, AK",Alaska
22020,"Fargo, ND-MN",Minnesota
22140,"Farmington, NM",New Mexico
22180,"Fayetteville, NC",North Carolina
22220,"Fayetteville-Springdale-Rogers, AR-MO",Arkansas
22380,"Flagstaff, AZ",Arizona
22420,"Flint, MI",Michigan
22500,"Florence, SC",South Carolina
