GEOID,Metro Area,GEOID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
17420,"Cleveland, TN",17420,3.4,3.3,3.1,3.1,3.0,3.1,3.1,3.2,3.2,3.1,3.1,3.0,3.0,3.1,3.1,3.2,3.3,3.3,3.4,3.5,3.6,3.8,3.9,4.0,4.0,4.2,4.5,4.6,4.5,4.5,4.5,4.4,4.3,4.1,4.1,4.0,4.0,4.0,4.0,4.0,4.2,4.5,4.8,4.9,5.3
17860,"Columbia, MO",17860,3.6,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.1,2.9,2.8,2.8,2.8,2.7,2.9,3.0,3.0,2.9,2.9,2.9,2.9,3.0,3.1,3.2,3.3,3.5,3.5,3.3,3.2,3.3,3.2,3.3,3.2,3.2,3.2,3.3,3.3,3.3,3.4,3.5,3.6,4.0,4.3,4.3,4.5
17300,"Clarksville, TN-KY",17300,3.1,3.1,2.9,2.9,2.8,2.9,2.8,2.8,2.7,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.7,2.7,2.7,2.8,2.8,2.9,2.9,3.0,3.1,3.0,3.0,2.9,3.0,3.1,3.1,3.1,3.3,3.3,3.4,3.7,4.2,4.3,4.5
16740,"Charlotte-Concord-Gastonia, NC-SC",16740,2.1,2.1,2.1,2.0,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.4,2.3,2.3,2.2,2.1,2.2,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.6,2.8,2.8,2.9,2.8,2.7,2.8,2.9,3.0,3.2,3.4,3.4,3.5,3.7,3.7,3.9,4.2,4.8,5.2,4.9,5.0
17410,"Cleveland, OH",17410,2.5,2.5,2.2,2.4,2.3,2.3,2.3,2.4,2.3,2.4,2.6,2.7,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.8,3.0,3.1,3.0,3.0,3.0,2.8,2.6,2.2,2.1,2.5,2.2,2.2,2.4,2.4,2.4,2.5,2.6,2.7,2.8,3.0,3.1,3.2,3.1,3.1
17140,"Cincinnati, OH-KY-IN",17140,2.7,2.7,2.6,2.6,2.5,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.9,2.9,2.9,2.8,2.6,2.4,2.3,2.4,2.3,2.4,2.5,2.5,2.5,2.5,2.6,2.7,2.8,3.0,3.4,3.5,3.6,3.7
17660,"Coeur d'Alene, ID",17660,3.7,4.0,3.7,3.6,3.4,3.3,3.3,3.0,2.8,2.7,2.6,2.7,2.9,3.1,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.6,3.6,3.6,4.1,5.2,5.8,5.5,5.0,4.9,4.6,4.2,3.8,3.8,3.8,4.1,4.3,4.8,5.2,5.5,5.9,7.3,8.4,8.2,8.6
18020,"Columbus, IN",18020,2.3,2.4,2.2,2.1,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.1,2.1,2.1,2.2,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.4,2.3,2.3,2.4,2.4,2.4,2.3,2.3,2.3,2.4,2.3,2.3,2.2,2.3,2.4,2.7,3.0,2.9,2.8
17820,"Colorado Springs, CO",17820,3.4,3.1,3.4,3.3,3.1,3.1,3.1,2.9,2.8,2.7,2.6,2.6,2.6,2.7,2.9,3.0,3.2,3.1,3.1,3.1,3.2,3.4,3.5,3.6,3.7,4.0,4.1,3.9,3.6,3.4,3.6,3.5,3.6,3.8,3.7,3.9,4.0,4.3,4.5,4.5,4.8,5.5,5.5,5.1,5.0
18580,"Corpus Christi, TX",18580,3.4,3.1,3.4,3.4,3.2,3.2,3.3,3.1,2.8,2.6,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.6,2.8,3.0,3.3,3.4,3.3,3.2,3.1,3.1,3.0,3.0,3.0,3.4,3.5,3.6,3.5,3.6,3.7,4.0,4.3,4.5,4.4,4.3
17900,"Columbia, SC",17900,2.9,2.9,2.8,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.6,2.7,2.7,2.6,2.7,2.6,2.6,2.7,2.7,2.7,2.7,2.9,2.9,2.9,3.1,3.1,3.1,3.0,2.9,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.0,3.1,3.3,3.5,3.9,4.3,4.1,4.0
18140,"Columbus, OH",18140,2.7,2.7,2.6,2.5,2.5,2.4,2.4,2.4,2.5,2.6,2.6,2.6,2.8,2.7,2.7,2.7,2.8,2.9,2.9,2.8,2.8,2.9,3.0,3.0,3.0,3.1,2.9,2.8,2.6,2.5,2.6,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.5,3.8,4.0,4.0,4.1
18700,"Corvallis, OR",18700,4.2,3.8,3.6,3.4,3.2,3.0,2.9,2.7,2.6,2.7,2.9,3.1,3.4,3.8,4.1,4.3,4.2,4.2,4.3,4.3,4.3,4.5,4.6,4.6,4.9,5.2,5.7,5.8,5.8,5.6,5.4,5.0,4.9,5.0,5.2,5.6,5.8,6.0,6.0,6.1,6.4,7.3,8.3,8.1,8.1
18880,"Crestview-Fort Walton Beach-Destin, FL",18880,4.2,3.8,3.6,3.7,3.6,3.5,3.4,3.4,3.3,3.3,3.2,3.1,3.3,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.3,3.5,3.7,4.3,5.4,5.7,5.2,4.6,4.2,4.1,3.8,3.6,3.6,3.4,4.3,4.4,4.4,4.5,4.4,5.1,5.4,5.6,5.0,4.7
16820,"Charlottesville, VA",16820,4.1,4.0,3.5,3.6,3.4,3.3,3.3,3.3,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.4,3.3,3.3,3.3,3.4,3.6,3.8,4.1,4.5,5.1,5.5,5.5,5.3,5.0,4.8,4.6,4.5,4.5,4.5,4.5,4.4,4.3,4.3,4.3,4.3,4.6,5.0,4.9,5.1
17780,"College Station-Bryan, TX",17780,4.3,4.2,4.3,4.3,4.3,4.3,4.4,4.0,3.7,3.5,3.4,3.5,3.5,3.6,3.7,3.6,3.5,3.4,3.4,3.3,3.4,3.5,3.6,3.7,3.8,3.8,3.7,3.7,3.9,4.1,4.1,3.8,3.8,3.6,3.7,3.9,4.0,4.1,4.1,4.2,4.5,4.9,5.7,6.3,6.4
19140,"Dalton, GA",19140,2.7,2.9,2.9,2.8,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.4,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.9,3.0,3.1,3.3,3.5,3.7,3.7,3.6,3.4,3.3,3.2,3.1,3.0,2.8,2.8,2.9,3.1,3.1,3.0,3.0,3.3,3.7,3.8,3.8
19300,"Daphne-Fairhope-Foley, AL",19300,3.6,3.4,3.2,3.2,3.1,3.0,3.1,3.1,3.0,2.9,2.9,2.9,3.0,3.2,3.3,3.4,3.4,3.5,3.4,3.4,3.4,3.6,3.6,3.7,3.8,4.4,4.8,4.6,4.3,4.2,4.1,3.8,3.6,3.5,3.5,3.5,3.4,3.5,3.6,3.5,3.7,4.0,4.7,5.0,5.0
19340,"Davenport-Moline-Rock Island, IA-IL",19340,2.2,2.2,2.1,2.2,2.1,1.9,1.8,1.7,1.6,1.6,1.7,1.7,1.8,1.9,1.9,2.0,2.0,1.9,2.0,2.0,2.1,2.1,2.3,2.4,2.5,2.6,2.5,2.3,1.9,2.2,2.3,2.2,2.3,2.2,2.2,2.3,2.3,2.3,2.3,2.2,2.3,2.4,2.4,2.4,2.4
19500,"Decatur, IL",19500,1.8,1.9,1.7,1.8,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.9,2.0,2.0,2.0,2.1,2.1,1.9,2.0,2.0,2.0,2.0,1.9,1.8,1.9,1.9,1.9,1.9,1.8,1.8,1.9,2.0,2.2,2.1,2.2
19660,"Deltona-Daytona Beach-Ormond Beach, FL",19660,3.0,2.7,2.8,2.8,2.8,2.7,2.6,2.5,2.5,2.5,2.4,2.5,2.4,2.4,2.3,2.2,2.3,2.2,2.3,2.3,2.3,2.5,2.7,3.2,3.8,4.6,4.7,4.2,3.6,2.8,2.7,2.5,2.7,3.1,3.2,3.4,3.8,3.9,4.1,4.1,4.3,4.8,5.5,5.3,5.2
19740,"Denver-Aurora-Centennial, CO",19740,3.2,3.1,3.2,3.2,3.1,3.0,3.0,2.8,2.7,2.6,2.5,2.5,2.6,2.8,3.0,3.1,3.1,3.1,3.2,3.3,3.7,4.0,4.2,4.4,4.4,4.5,4.4,4.2,3.7,3.7,3.9,3.9,4.1,4.4,4.6,5.1,5.3,5.4,5.6,5.5,5.7,6.6,6.8,6.4,6.2
19820,"Detroit-Warren-Dearborn, MI",19820,2.1,2.2,2.0,1.9,1.8,1.7,1.7,1.9,2.0,2.0,2.1,2.2,2.3,2.3,2.3,2.3,2.5,2.6,2.6,2.7,3.1,3.2,3.4,3.5,3.6,3.6,3.5,3.3,2.9,2.6,2.5,2.4,2.4,2.5,2.7,2.8,2.9,2.9,3.0,3.1,3.4,3.6,3.6,3.5,3.7
19460,"Decatur, AL",19460,2.9,2.8,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.3,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.7,2.6,2.6,2.7,2.7,2.7,2.8,2.7,2.9,3.0,3.3,3.6,3.7,3.4,3.3
19100,"Dallas-Fort Worth-Arlington, TX",19100,3.8,3.7,3.6,3.5,3.5,3.5,3.5,3.3,3.0,2.8,2.7,2.6,2.6,2.6,2.6,2.5,2.6,2.6,2.4,2.4,2.5,2.6,2.7,2.8,2.7,2.8,2.8,2.7,2.6,2.5,2.6,2.6,2.7,3.0,3.1,3.3,3.5,3.7,3.7,3.7,3.8,4.3,4.7,4.4,4.3
20020,"Dothan, AL",20020,3.0,2.8,2.7,2.7,2.7,2.6,2.6,2.5,2.4,2.3,2.3,2.3,2.4,2.4,2.4,2.6,2.5,2.6,2.6,2.6,2.6,2.8,2.8,2.8,2.8,3.0,3.2,3.2,3.1,3.1,3.0,2.9,2.9,2.9,2.8,2.9,2.8,2.9,2.9,2.9,3.0,3.1,3.4,3.5,3.6
20100,"Dover, DE",20100,2.3,2.2,2.1,2.1,2.1,2.2,2.2,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.3,2.6,2.8,3.2,3.7,4.2,4.0,3.9,3.6,3.7,3.2,3.3,3.3,3.3,3.4,3.5,3.6,3.5,3.7,3.9,4.3,4.4,4.3,4.5
19780,"Des Moines-West Des Moines, IA",19780,2.3,2.2,2.1,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.9,2.0,2.1,2.2,2.2,2.2,2.3,2.4,2.4,2.4,2.4,2.6,2.7,2.7,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.8,2.7,2.8,2.8,2.8,2.9,3.0,3.1,3.4,3.4,3.4,3.6
19430,"Dayton-Kettering-Beavercreek, OH",19430,2.3,2.3,2.1,2.2,2.1,2.0,2.0,2.1,2.2,2.2,2.3,2.4,2.5,2.4,2.4,2.4,2.5,2.4,2.5,2.5,2.4,2.5,2.6,2.6,2.6,2.6,2.6,2.4,2.2,2.2,2.3,2.0,2.2,2.2,2.3,2.4,2.5,2.6,2.7,2.7,2.9,3.1,3.2,3.5,3.7
20220,"Dubuque, IA",20220,2.6,2.6,2.5,2.5,2.4,2.3,2.2,2.1,2.0,2.0,2.0,2.0,2.1,2.1,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.5,2.6,2.6,2.6,2.7,2.6,2.7,3.0,3.2,3.5
20260,"Duluth, MN-WI",20260,1.9,1.9,1.8,2.1,2.2,2.1,2.1,2.1,2.1,2.0,2.0,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.4,2.6,2.8,2.9,3.1,3.3,3.4,3.4,3.3,3.3,3.1,3.0,2.9,2.9,2.9,2.8,2.8,2.9,2.9,3.0,3.1,3.4,3.4,3.6,3.7
20500,"Durham-Chapel Hill, NC",20500,3.2,3.3,3.3,3.2,3.1,3.1,3.2,3.3,3.3,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.1,3.2,3.4,3.5,3.6,3.8,4.1,4.2,4.2,4.0,4.0,4.0,3.7,3.6,3.7,3.7,4.1,4.1,4.2,4.4,4.5,4.7,5.3,5.7,5.6,5.3
20740,"Eau Claire, WI",20740,2.7,2.5,2.2,2.3,2.3,2.2,2.1,2.0,2.0,2.0,2.1,2.0,2.1,2.1,2.2,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.7,2.8,2.8,2.8,2.8,2.8,2.7,2.6,2.7,3.0,3.3,3.3,3.4
20580,"Eagle Pass, TX",20580,3.5,3.6,3.9,4.2,4.3,4.3,4.3,4.0,3.6,3.3,3.1,3.0,3.0,3.0,2.9,2.8,2.8,2.8,2.7,2.6,2.7,2.9,3.0,3.0,3.0,3.1,3.1,3.1,3.0,3.0,3.1,3.1,3.1,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3.1,3.3,3.4,3.1,3.0
20940,"El Centro, CA",20940,3.4,3.5,3.1,3.1,3.0,2.9,2.9,2.8,3.0,3.3,3.4,3.5,3.7,3.7,3.7,3.7,3.6,3.5,3.4,3.3,3.2,3.4,3.7,4.1,4.8,6.2,7.2,7.0,5.2,4.3,4.1,3.9,3.7,3.9,4.2,4.3,4.4,4.5,4.6,4.6,4.8,5.2,5.4,5.3,5.5
21140,"Elkhart-Goshen, IN",21140,2.4,2.5,2.3,2.2,2.0,2.0,2.0,2.0,2.0,2.1,2.2,2.2,2.2,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.5,2.4,2.5,2.6,2.7,2.6,2.5,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.5,2.7,3.2,3.2,3.4
21300,"Elmira, NY",21300,1.3,1.3,1.4,1.4,1.6,1.8,2.0,2.1,2.1,2.0,2.0,2.0,2.1,2.1,2.0,1.9,1.9,1.8,1.8,1.8,1.9,1.9,1.8,2.1,2.1,2.0,2.2,1.9,2.0,1.9,2.2,2.2,2.3,2.3,2.1,2.1,2.3,2.1,2.0,2.0,2.1,2.5,2.6,2.5,2.5
21340,"El Paso, TX",21340,2.9,3.0,3.1,3.2,3.2,3.2,3.2,2.9,2.7,2.8,2.7,2.7,2.7,2.8,2.8,2.7,2.8,2.6,2.6,2.5,2.5,2.6,2.7,2.7,2.8,3.3,3.6,3.6,3.6,3.5,3.5,3.4,3.4,3.5,3.4,3.4,3.4,3.5,3.4,3.5,3.6,4.0,4.4,4.1,4.3
21060,"Elizabethtown, KY",21060,3.5,3.3,3.0,2.8,2.7,2.7,2.6,2.6,2.7,2.7,2.5,2.4,2.4,2.4,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.9,3.0,3.1,3.0,3.0,3.0,3.1,3.0,2.9,2.8,2.9,2.9,3.0,3.1,3.1,3.0,3.0,3.2,3.6,3.7,3.7
21420,"Enid, OK",21420,2.8,2.7,2.8,2.9,2.7,2.6,2.6,2.3,2.0,1.9,1.8,1.8,1.8,1.9,2.0,2.1,2.1,2.1,2.1,2.1,2.0,2.1,2.1,2.2,2.2,2.1,2.2,2.2,2.3,2.3,2.3,2.2,2.1,2.1,2.1,2.2,2.2,2.1,2.0,1.9,1.9,2.1,2.1,2.2,2.2
21500,"Erie, PA",21500,2.2,2.1,2.0,2.0,2.0,1.9,2.0,2.1,2.3,2.2,2.2,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.4,2.4,2.5,2.5,2.5,2.3,2.3,2.2,2.5,2.5,2.5,2.5,2.6,2.5,2.3,2.3,2.3,2.4,2.5,2.6,2.7,2.8,2.9
21660,"Eugene-Springfield, OR",21660,2.9,2.9,2.7,2.5,2.3,2.3,2.2,2.2,2.2,2.3,2.6,2.7,2.9,2.9,3.2,3.4,3.6,3.5,3.5,3.5,3.5,3.6,3.8,4.0,4.3,5.0,5.5,5.5,5.2,4.9,4.8,4.5,4.3,4.5,4.6,4.7,4.9,5.2,5.4,5.5,5.9,6.7,7.1,6.6,6.4
21780,"Evansville, IN",21780,2.4,2.3,2.3,2.2,2.2,2.1,2.2,2.2,2.1,2.1,2.1,2.0,2.0,2.0,2.1,2.1,2.2,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.8,3.1,3.2,3.2
22180,"Fayetteville, NC",22180,3.7,3.5,3.3,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.2,3.2,3.2,3.3,3.4,3.5,3.6,3.6,3.7,3.6,3.5,3.4,3.4,3.3,2.9,2.9,3.0,3.0,3.3,3.6,3.8,3.8,3.9
21820,"Fairbanks-College, AK",21820,2.8,2.9,3.2,3.1,3.2,3.1,3.1,2.7,2.8,2.4,2.5,2.5,2.6,2.7,2.8,2.8,2.9,2.9,2.9,2.9,2.8,2.8,2.9,3.0,3.2,3.4,3.4,3.4,3.3,3.3,3.4,3.3,3.2,3.3,3.2,3.2,3.3,3.4,3.5,3.6,3.6,3.7,3.9,3.9,3.8
22140,"Farmington, NM",22140,2.5,2.6,2.7,2.9,2.9,3.0,3.1,3.1,2.9,2.6,2.4,2.3,2.4,2.4,2.5,2.6,2.7,2.7,2.8,2.8,2.8,3.1,3.3,3.4,3.6,3.9,4.2,4.3,4.1,4.0,3.9,3.8,3.8,3.7,3.8,3.4,3.5,3.6,3.9,4.1,4.2,4.4,4.7,4.5,4.8
22020,"Fargo, ND-MN",22020,3.3,3.7,2.8,3.1,3.3,3.1,2.9,2.8,2.6,2.4,2.3,2.4,2.4,2.5,2.5,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.7,2.9,3.0,3.0,3.1,3.1,2.9,3.0,2.9,2.9,3.1,3.2,3.3,3.4,3.3,3.4,3.4,3.6,3.8,4.0,3.9,4.0
22380,"Flagstaff, AZ",22380,3.6,3.6,3.4,3.6,3.6,3.6,3.6,3.6,3.5,3.4,3.4,3.4,3.4,3.4,3.6,3.9,4.0,4.0,4.0,3.9,3.9,4.0,4.3,4.5,5.0,5.9,6.7,6.5,5.9,5.6,5.0,4.7,4.5,4.6,4.8,4.9,5.1,5.3,5.5,5.9,6.2,7.3,8.2,8.0,8.0
22420,"Flint, MI",22420,1.8,1.8,1.6,1.6,1.4,1.4,1.4,1.5,1.6,1.6,1.7,1.8,1.8,1.7,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.6,2.7,2.8,2.9,2.8,2.7,2.4,2.3,2.2,2.0,1.8,2.0,2.1,2.2,2.2,2.3,2.4,2.5,2.5,2.8,2.9,2.9,2.9
22500,"Florence, SC",22500,2.6,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.4,2.6,2.7,2.7,2.8,2.8,2.8,2.8,3.0,2.9,2.9,3.0,3.3,3.2,3.1,3.3,3.4,3.3,3.3,3.2,3.5,3.8,4.1,4.3,4.5
22520,"Florence-Muscle Shoals, AL",22520,3.1,3.0,2.8,2.9,2.9,2.8,2.8,2.8,2.7,2.6,2.4,2.4,2.4,2.5,2.4,2.5,2.4,2.5,2.6,2.7,2.8,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.1,3.1,3.1,2.8,2.8,2.7,2.7,2.9,2.9,2.9,3.0,3.1,3.2,3.5,3.8,3.8,3.9
22540,"Fond du Lac, WI",22540,1.9,1.8,1.7,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2.0,2.1,2.1,2.1,2.1,2.1,2.0,2.0,1.9,2.2,2.2,2.1,2.1,2.2,2.3,2.2,2.3,2.6,2.7,3.1,3.4
22660,"Fort Collins-Loveland, CO",22660,4.1,3.9,3.7,3.9,3.8,3.8,3.7,3.6,3.4,3.2,3.2,3.2,3.2,3.4,3.8,3.9,3.9,3.8,3.9,3.9,4.1,4.3,4.6,4.7,4.9,4.9,5.0,4.8,4.7,4.6,4.5,4.5,4.5,4.7,4.8,5.1,5.3,5.5,5.6,5.5,5.7,6.3,7.1,6.9,6.9
23060,"Fort Wayne, IN",23060,2.6,2.6,2.4,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.0,2.1,2.1,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.3,2.2,2.0,1.9,2.0,2.1,1.9,2.2,2.2,2.2,2.3,2.4,2.5,2.6,2.7,2.8,3.0,3.3,3.4,3.6
23420,"Fresno, CA",23420,3.7,3.7,3.5,3.4,3.3,3.2,3.1,3.1,3.0,3.0,3.1,3.2,3.3,3.3,3.1,3.0,2.9,2.8,2.8,2.7,2.8,3.3,3.8,4.6,5.6,6.6,6.4,6.0,4.3,3.1,3.3,3.1,3.3,4.0,4.5,4.7,4.7,4.9,4.9,4.9,5.1,5.7,6.1,5.8,5.7
22900,"Fort Smith, AR-OK",22900,2.8,2.7,2.5,2.7,2.6,2.5,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.8,2.8,2.9,2.8,2.8,2.8,2.7,2.6,2.8,2.7,2.7,2.7,2.7,2.8,3.0,3.4,3.4,3.5
22220,"Fayetteville-Springdale-Rogers, AR",22220,4.1,4.0,3.9,3.9,3.6,3.7,3.6,3.4,3.2,3.2,3.2,3.1,3.1,3.1,3.3,3.3,3.3,3.3,3.1,3.0,3.0,3.1,3.1,3.1,3.2,3.5,3.4,3.3,3.2,2.8,2.7,2.5,2.8,2.8,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.8,4.5,4.5,4.7
23460,"Gadsden, AL",23460,2.8,2.6,2.6,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.2,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.6,2.6,2.6,2.7,2.8,2.8,2.8,3.0,3.0,3.0,2.9,2.8,2.8,2.8,2.8,2.7,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.7,3.1,3.3,3.4
23580,"Gainesville, GA",23580,3.5,3.7,3.6,3.5,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.2,3.4,3.5,3.6,3.7,3.8,3.9,3.9,3.8,3.7,3.4,3.1,3.0,3.0,3.2,3.3,3.4,3.6,3.7,3.6,4.1,4.9,5.3,5.2,5.2
23900,"Gettysburg, PA",23900,2.4,2.4,2.3,2.2,2.2,2.2,2.2,2.4,2.5,2.6,2.5,2.5,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.5,2.6,2.7,2.7,3.1,3.5,3.9,3.8,3.7,3.6,3.6,3.5,3.3,3.2,3.1,3.1,3.0,3.1,3.2,3.3,3.3,3.5,3.8,4.0,4.2
24020,"Glens Falls, NY",24020,2.1,2.0,2.1,2.1,2.3,2.5,2.7,2.9,2.9,2.8,2.8,2.6,2.6,2.5,2.4,2.2,2.1,2.1,2.1,2.0,2.1,2.2,2.5,2.7,2.9,3.4,3.5,3.6,3.4,3.1,2.9,3.0,3.0,3.0,3.1,3.1,3.1,2.9,2.8,2.9,3.1,3.5,3.5,3.4,3.5
23540,"Gainesville, FL",23540,3.2,3.1,3.1,3.3,3.2,3.2,3.2,3.2,3.2,3.3,3.5,3.4,3.5,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.9,4.0,4.4,4.7,5.2,5.6,6.3,5.8,5.2,4.5,4.5,4.0,4.0,4.0,4.0,4.0,4.2,4.4,4.7,4.7,4.8,5.4,5.8,5.9,5.8
24140,"Goldsboro, NC",24140,3.5,3.4,3.3,3.1,3.1,3.2,3.1,3.1,3.0,2.9,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.7,3.1,3.3,3.4
25060,"Gulfport-Biloxi, MS",25060,3.1,2.7,2.7,2.8,2.8,2.8,2.8,2.6,2.5,2.3,2.2,2.1,2.1,2.1,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.5,2.6,2.7,2.9,3.2,3.2,2.6,2.8,2.7,2.4,2.3,2.4,2.6,2.8,2.7,2.8,2.8,3.0,3.3,3.5,3.7,3.6,3.7
24580,"Green Bay, WI",24580,2.6,2.4,2.1,2.3,2.2,2.1,2.0,2.0,2.0,2.0,2.1,2.0,2.2,2.3,2.4,2.3,2.4,2.5,2.5,2.4,2.5,2.6,2.7,2.8,2.9,3.2,3.1,3.0,2.8,2.7,2.6,2.6,2.6,2.6,2.7,2.6,2.6,2.7,2.8,2.9,3.1,3.5,3.6,3.7,3.8
24500,"Great Falls, MT",24500,3.0,2.9,3.0,2.9,3.1,3.1,3.1,2.8,2.8,2.7,2.6,2.5,2.6,2.8,2.9,3.0,3.0,3.0,3.0,2.9,3.0,3.1,3.2,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.8,3.8,3.8,4.0,3.9,4.0,3.9,3.9,4.0,3.9,4.0,4.3,4.8,4.9,4.9
24220,"Grand Forks, ND-MN",24220,3.3,3.4,2.7,2.9,3.2,3.0,2.9,2.8,2.6,2.5,2.4,2.5,2.5,2.5,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.7,2.8,2.9,2.8,2.8,2.8,3.0,3.0,3.1,3.3,3.0,3.3,3.3,3.4,3.4,3.4,3.3,3.3,3.3,3.1,3.2
24260,"Grand Island, NE",24260,2.6,2.5,2.4,2.4,2.2,2.2,2.2,2.1,1.9,1.9,1.9,1.7,1.8,1.8,1.9,2.0,2.1,2.2,2.2,2.2,2.3,2.3,2.3,2.2,2.3,2.3,2.2,2.2,2.1,2.2,2.1,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.5,2.6,2.6,2.7,2.9,3.0,3.1
24300,"Grand Junction, CO",24300,3.5,3.4,3.9,3.8,3.3,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.7,2.9,3.1,3.3,3.3,3.3,3.4,3.4,3.5,3.7,3.9,4.0,4.3,4.5,4.7,4.8,4.7,4.7,4.6,4.3,4.2,4.3,4.2,4.4,4.6,4.8,5.0,5.0,4.9,5.5,6.3,6.8,7.3
